               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1094,            0.029566,            0.075168,          0.00039651,            0.050096,          0.00022274,          2.5188e-05,            0.056801,            0.032215,            0.046441,              0.0919,              0.0009,              0.0009
                   1,            0.069521,            0.034677,            0.062457,           0.0076846,              0.9697,            0.025114,            0.010128,            0.031253,            0.034302,            0.042398,            0.082862,           0.0018624,           0.0018624
                   2,            0.063509,            0.034707,            0.064448,            0.006415,                   1,             0.31273,             0.12778,            0.042019,             0.02529,            0.036737,            0.073785,           0.0027852,           0.0027852
                   3,            0.061562,             0.02974,            0.052567,             0.31885,             0.69561,             0.51907,             0.12719,            0.042757,            0.021203,            0.033587,            0.064668,           0.0036683,           0.0036683
                   4,            0.057732,            0.024405,            0.045132,             0.06922,             0.62016,             0.19109,            0.060273,            0.047654,            0.019392,             0.03175,            0.055512,           0.0045119,           0.0045119
                   5,            0.057121,            0.020139,            0.043539,            0.088602,             0.77163,             0.13404,            0.042435,             0.04592,            0.016299,             0.02939,            0.046316,           0.0053159,           0.0053159
                   6,            0.068924,            0.018377,            0.043868,              0.2311,             0.90467,             0.44566,             0.12698,            0.034343,            0.016957,            0.028907,             0.03708,           0.0060803,           0.0060803
                   7,            0.057764,            0.020946,            0.040794,             0.19223,             0.66646,              0.4155,            0.080483,            0.042093,            0.014577,            0.028425,            0.027805,           0.0068051,           0.0068051
                   8,            0.063532,            0.018334,            0.039725,             0.48859,              0.6531,             0.40309,             0.12497,            0.042838,            0.013454,            0.028174,             0.01849,           0.0074902,           0.0074902
                   9,            0.058312,            0.015954,            0.039228,            0.036347,             0.69495,            0.049732,            0.024457,            0.054014,             0.01097,            0.027508,           0.0091358,           0.0081358,           0.0081358
                  10,            0.066234,            0.015134,             0.04081,             0.51275,             0.62016,             0.40768,             0.15893,            0.040769,            0.011442,            0.028115,             0.00802,             0.00802,             0.00802
                  11,             0.06277,              0.0163,             0.03834,            0.095614,             0.79782,             0.12022,            0.039698,            0.049758,            0.011002,            0.028502,             0.00802,             0.00802,             0.00802
                  12,            0.064702,            0.016233,             0.04001,             0.18837,             0.65242,             0.44239,             0.20222,            0.040886,            0.010704,            0.026988,            0.007822,            0.007822,            0.007822
                  13,            0.062183,            0.014329,            0.038805,             0.26367,             0.97297,             0.60861,             0.15023,            0.032359,            0.010283,            0.027044,            0.007624,            0.007624,            0.007624
                  14,            0.054049,            0.015578,            0.037337,             0.44546,             0.93694,             0.68588,             0.21519,            0.028924,            0.010333,            0.026394,            0.007426,            0.007426,            0.007426
                  15,            0.049143,            0.013631,            0.036779,             0.39346,             0.95495,             0.65536,             0.30137,            0.035163,             0.01016,            0.025754,            0.007228,            0.007228,            0.007228
                  16,            0.058339,            0.011561,            0.036168,              0.5361,             0.92793,             0.67789,             0.36401,            0.035138,           0.0093284,            0.024458,             0.00703,             0.00703,             0.00703
                  17,            0.049521,            0.011404,            0.034746,             0.46985,             0.63332,             0.56424,             0.30258,            0.030243,           0.0095006,            0.023767,            0.006832,            0.006832,            0.006832
                  18,             0.04647,            0.011623,            0.031027,             0.49973,             0.90698,             0.67902,             0.34161,            0.027738,           0.0087337,            0.022973,            0.006634,            0.006634,            0.006634
