               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1181,            0.044627,            0.055563,          0.00073345,             0.24675,          0.00061992,          0.00012691,             0.11329,            0.040514,             0.05558,              0.0946,              0.0006,              0.0006
                   1,             0.10879,            0.040191,            0.050609,           0.0026084,            0.057638,           0.0022074,          0.00041719,             0.10054,            0.039509,             0.04773,            0.088249,           0.0012485,           0.0012485
                   2,             0.10324,            0.038287,            0.046279,           0.0013289,             0.35643,           0.0031784,          0.00081168,            0.094134,            0.038214,            0.042246,            0.081842,           0.0018416,           0.0018416
                   3,            0.097454,            0.039902,            0.042766,           0.0017846,              0.4524,            0.014433,           0.0031912,            0.086588,            0.038729,            0.037696,            0.075379,           0.0023792,           0.0023792
                   4,            0.090738,            0.038455,            0.038613,           0.0022812,             0.51082,           0.0065306,           0.0011722,            0.084313,            0.037008,            0.032214,            0.068861,           0.0028614,           0.0028614
                   5,            0.085534,            0.035338,            0.032801,             0.51313,             0.10221,            0.035883,           0.0078428,            0.079956,            0.036064,            0.029518,            0.062288,           0.0032882,           0.0032882
                   6,            0.081946,            0.035539,            0.030993,             0.54791,             0.10793,            0.054697,            0.014112,            0.082709,            0.032075,            0.025166,             0.05566,           0.0036595,           0.0036595
                   7,            0.077829,            0.034737,            0.028023,               0.521,            0.088531,            0.099294,            0.024301,            0.074678,            0.032752,              0.0232,            0.048975,           0.0039754,           0.0039754
                   8,            0.076248,            0.031669,            0.024264,             0.48547,             0.21737,            0.065644,            0.019342,            0.077406,            0.030315,            0.020566,            0.042236,           0.0042358,           0.0042358
                   9,            0.077816,            0.031576,            0.023356,             0.49973,             0.30292,            0.084124,            0.019974,            0.082284,            0.029217,            0.019351,            0.035441,           0.0044408,           0.0044408
                  10,            0.077917,            0.032282,            0.022043,             0.51084,             0.22461,            0.078107,            0.022092,             0.08473,            0.027561,             0.01837,             0.02859,           0.0045904,           0.0045904
                  11,            0.073619,            0.032164,            0.021179,             0.61224,             0.22909,             0.19919,            0.062405,            0.072074,            0.027809,            0.015443,            0.021685,           0.0046845,           0.0046845
                  12,            0.073512,            0.033089,            0.019594,             0.51241,             0.17543,             0.13056,             0.03683,            0.072558,            0.027148,            0.014892,            0.014723,           0.0047232,           0.0047232
                  13,            0.073082,            0.028717,            0.019079,             0.58423,             0.27895,             0.12736,              0.0398,            0.077474,            0.025032,            0.013036,           0.0077064,           0.0047064,           0.0047064
                  14,             0.07195,            0.026907,            0.016942,             0.49346,             0.31335,             0.12723,            0.042871,             0.07355,            0.024569,            0.011478,            0.004456,            0.004456,            0.004456
                  15,            0.069928,            0.025727,            0.013865,              0.5755,             0.29037,             0.21534,            0.069271,            0.071479,            0.023714,            0.010687,            0.004456,            0.004456,            0.004456
                  16,            0.067637,            0.027081,            0.014256,             0.64295,             0.32229,             0.32494,             0.10811,            0.057877,            0.025308,            0.010144,             0.00406,             0.00406,             0.00406
                  17,            0.062218,            0.032029,            0.014233,             0.68108,             0.30779,               0.293,            0.097668,            0.062171,            0.023848,           0.0093712,            0.003664,            0.003664,            0.003664
                  18,            0.066667,            0.025032,            0.012041,             0.74508,             0.35724,              0.4178,             0.13875,            0.061004,            0.023423,           0.0089978,            0.003268,            0.003268,            0.003268
                  19,            0.062731,            0.026583,            0.013249,             0.69355,             0.42091,             0.46916,             0.16287,            0.056644,            0.023177,           0.0086632,            0.002872,            0.002872,            0.002872
                  20,            0.058531,            0.023987,            0.013547,             0.77039,             0.38227,             0.50504,             0.19791,            0.052218,            0.023139,           0.0084609,            0.002476,            0.002476,            0.002476
                  21,            0.055022,             0.02754,            0.012069,             0.73004,             0.38461,             0.50416,             0.20683,            0.051938,            0.022664,           0.0080338,             0.00208,             0.00208,             0.00208
                  22,            0.054827,            0.023718,            0.011942,             0.72795,             0.43227,               0.553,             0.21992,            0.050011,            0.022242,           0.0077828,            0.001684,            0.001684,            0.001684
                  23,            0.052847,            0.026351,            0.011313,             0.78846,             0.39004,             0.57871,             0.29133,            0.047436,            0.021901,           0.0075127,            0.001288,            0.001288,            0.001288
                  24,            0.050945,            0.025406,           0.0099425,              0.8254,             0.40368,             0.61151,             0.29595,            0.046432,            0.021781,           0.0074336,            0.000892,            0.000892,            0.000892
